"Id","Percent","IsHit","ActionName","ActionPosition","Comment"
"56","13","TRUE","Snap Punch","flank","90 Buffed"
"56","16","TRUE","Snap Punch","flank","90 Unbuffed"
"66","16","TRUE","Demolish","rear","lv 90"
"79","0","FALSE","Heavy Thrust","flank","lol"
"88","28","TRUE","Chaos Thrust","rear","50 Uncomboed"
"88","61","TRUE","Chaos Thrust","rear","50 Comboed"
"2255","20","TRUE","Aeolian Edge","rear","90 Uncomboed with Kazematoi"
"2255","30","TRUE","Aeolian Edge","rear","90 Uncomboed no Kazematoi"
"2255","50","TRUE","Aeolian Edge","rear","90 Comboed with Kazematoi"
"2255","63","TRUE","Aeolian Edge","rear","90 Comboed no Kazematoi"
"2258","25","TRUE","Trick Attack","rear",""
"3554","28","TRUE","Fang and Claw","flank","90 Uncomboed"
"3554","66","TRUE","Fang and Claw","flank","90 Comboed"
"3554","22","TRUE","Fang and Claw","flank","100 Uncomboed"
"3554","58","TRUE","Fang and Claw","flank","100 Comboed"
"3556","28","TRUE","Wheeling Thrust","rear","90 Uncomboed"
"3556","66","TRUE","Wheeling Thrust","rear","90 Comboed"
"3556","22","TRUE","Wheeling Thrust","rear","100 Uncomboed"
"3556","58","TRUE","Wheeling Thrust","rear","100 Comboed"
"3563","30","TRUE","Armor Crush","flank","90 Uncomboed"
"3563","65","TRUE","Armor Crush","flank","90 Comboed"
"7481","29","TRUE","Gekko","rear","90 Uncomboed"
"7481","68","TRUE","Gekko","rear","90 Comboed"
"7482","29","TRUE","Kasha","flank","90 Uncomboed"
"7482","68","TRUE","Kasha","flank","90 Comboed"
"24382","11","TRUE","Gibbet","flank","90 Enhanced"
"24382","13","TRUE","Gibbet","flank","90 Non-enhanced"
"24382","9","TRUE","Gibbet","flank","100 Enhanced"
"24382","10","TRUE","Gibbet","flank","100 Non-enhanced"
"24383","11","TRUE","Gallows","rear","90 Enhanced"
"24383","13","TRUE","Gallows","rear","90 Non-enhanced"
"24383","9","TRUE","Gallows","rear","100 Enhanced"
"24383","10","TRUE","Gallows","rear","100 Non-enhanced"
"25772","28","TRUE","Chaotic Spring","rear","90 Uncomboed"
"25772","66","TRUE","Chaotic Spring","rear","90 Comboed"
"25772","22","TRUE","Chaotic Spring","rear","100 Uncomboed"
"25772","58","TRUE","Chaotic Spring","rear","100 Comboed"
"34610","52","TRUE","Flanksting Strike","flank","100 Enhanced"
"34610","54","TRUE","Flanksting Strike","flank",""
"34610","66","TRUE","Flanksting Strike","flank","100 Non-enhanced"
"34610","70","TRUE","Flanksting Strike","flank",""
"34611","52","TRUE","Flanksbane Fang","flank","100 Enhanced"
"34611","54","TRUE","Flanksbane Fang","flank",""
"34611","66","TRUE","Flanksbane Fang","flank","100 Non-enhanced"
"34611","70","TRUE","Flanksbane Fang","flank",""
"34612","52","TRUE","Hindsting Strike","rear","100 Enhanced"
"34612","54","TRUE","Hindsting Strike","rear",""
"34612","66","TRUE","Hindsting Strike","rear","100 Non-enhanced"
"34612","70","TRUE","Hindsting Strike","rear",""
"34613","52","TRUE","Hindsbane Fang","rear","100 Enhanced"
"34613","54","TRUE","Hindsbane Fang","rear",""
"34613","66","TRUE","Hindsbane Fang","rear","100 Non-enhanced"
"34613","70","TRUE","Hindsbane Fang","rear",""
"34621","9","TRUE","Hunter's Coil","flank","lv 90"
"34622","9","TRUE","Swiftskin's Coil","rear","lv 90"
"36947","15","TRUE","Pouncing Coeurl","flank","100 Unbuffed"
"36947","12","TRUE","Pouncing Coeurl","flank","100 Buffed"
"36970","7","TRUE","Executioner's Gibbet","flank",""
"36971","7","TRUE","Executioner's Gallows","rear",""